name,description,url,last_month_stars,this_month_stars,stars_m_m_growth,last_month_multiple
cuml,"
        cuML - RAPIDS Machine Learning Library
      ",https://github.com/rapidsai/cuml,3400,3900,500,1.1
dlib,"
        A toolkit for making real world machine learning and data analysis applications in C++
      ",https://github.com/davisking/dlib,12100,13000,900,1.1
lore,"
        Lore makes machine learning approachable for Software Engineers and maintainable for Machine Learning Researchers
      ",https://github.com/instacart/lore,1500,1600,100,1.1
onnx,"
        Open standard for machine learning interoperability
      ",https://github.com/onnx/onnx,15000,16800,1800,1.1
rasa,"
        💬 Open source machine learning framework to automate text- and voice-based conversations: NLU, dialogue management, connect to Slack, Facebook, and more - Create chatbots and voice assistants
      ",https://github.com/RasaHQ/rasa,16600,18000,1400,1.1
MLBox,"
        MLBox is a powerful Automated Machine Learning python library. 
      ",https://github.com/AxeldeRomblay/MLBox,1400,1500,100,1.1
alibi,"
        Algorithms for explaining machine learning models
      ",https://github.com/SeldonIO/alibi,2100,2300,200,1.1
h2o-3,"
        H2O is an Open Source, Distributed, Fast & Scalable Machine Learning Platform: Deep Learning, Gradient Boosting (GBM) & XGBoost, Random Forest, Generalized Linear Modeling (GLM with Elastic Net), K-Means, PCA, Generalized Additive Models (GAM), RuleFit, Support Vector Machine (SVM), Stacked Ensembles, Automatic Machine Learning (AutoML), etc.
      ",https://github.com/h2oai/h2o-3,6300,6700,400,1.1
river,"
        🌊 Online machine learning in Python
      ",https://github.com/online-ml/river,4300,4800,500,1.1
spago,"
        Self-contained Machine Learning and Natural Language Processing library in Go
      ",https://github.com/nlpodyssey/spago,1500,1700,200,1.1
AIF360,"
        A comprehensive set of fairness metrics for datasets and machine learning models, explanations for these metrics, and algorithms to mitigate bias in datasets and models.
      ",https://github.com/Trusted-AI/AIF360,2100,2300,200,1.1
AdvBox,"
        Advbox is a toolbox to generate adversarial examples that fool neural networks in PaddlePaddle、PyTorch、Caffe2、MxNet、Keras、TensorFlow and Advbox can benchmark the robustness of machine learning models. Advbox give a command line tool to generate adversarial examples with Zero-Coding.
      ",https://github.com/advboxes/AdvBox,1300,1400,100,1.1
ML-NLP,"
        此项目是机器学习(Machine Learning)、深度学习(Deep Learning)、NLP面试中常考到的知识点和代码实现，也是作为一个算法工程师必会的理论基础知识。
      ",https://github.com/NLP-LOVE/ML-NLP,13900,15200,1300,1.1
MLJ.jl,"
        A Julia machine learning framework
      ",https://github.com/alan-turing-institute/MLJ.jl,1600,1700,100,1.1
Paddle,"
        PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice （『飞桨』核心框架，深度学习&机器学习高性能单机、分布式训练和跨平台部署）
      ",https://github.com/PaddlePaddle/Paddle,20400,21600,1200,1.1
RecSys,"
        计算广告/推荐系统/机器学习(Machine Learning)/点击率(CTR)/转化率(CVR)预估/点击率预估
      ",https://github.com/mJackie/RecSys,1800,1900,100,1.1
mlpack,"
        mlpack: a fast, header-only C++ machine learning library
      ",https://github.com/mlpack/mlpack,4400,4800,400,1.1
netron,"
        Visualizer for neural network, deep learning and machine learning models
      ",https://github.com/lutzroeder/netron,23200,26100,2900,1.1
AI-Chip,"
        A list of ICs and IPs for AI, Machine Learning and Deep Learning.
      ",https://github.com/basicmi/AI-Chip,1500,1600,100,1.1
Merlion,"
        Merlion: A Machine Learning Framework for Time Series Intelligence
      ",https://github.com/salesforce/Merlion,3000,3300,300,1.1
doccano,"
        Open source annotation tool for machine learning practitioners.
      ",https://github.com/doccano/doccano,7900,9000,1100,1.1
mlxtend,"
        A library of extension and helper modules for Python's data analysis and machine learning libraries.
      ",https://github.com/rasbt/mlxtend,4400,4800,400,1.1
privacy,"
        Library for training machine learning models with privacy for training data
      ",https://github.com/tensorflow/privacy,1800,1900,100,1.1
pycaret,"
        An open-source, low-code machine learning library in Python
      ",https://github.com/pycaret/pycaret,7400,8400,1000,1.1
shapash,"
        🔅 Shapash: User-friendly Explainability and Interpretability to Develop Reliable and Transparent Machine Learning Models
      ",https://github.com/MAIF/shapash,2300,2600,300,1.1
tslearn,"
        The machine learning toolkit for time series analysis in Python
      ",https://github.com/tslearn-team/tslearn,2500,2800,300,1.1
LightGBM,"
        A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision tree algorithms, used for ranking, classification and many other machine learning tasks.
      ",https://github.com/microsoft/LightGBM,15100,16100,1000,1.1
OpenMLDB,"
        OpenMLDB is an open-source machine learning database that provides a feature platform computing consistent features for training and inference.
      ",https://github.com/4paradigm/OpenMLDB,1400,1600,200,1.1
datasets,"
        🎁 5,400,000+ Unsplash images made available for research and machine learning
      ",https://github.com/unsplash/datasets,2100,2300,200,1.1
gorgonia,"
        Gorgonia is a library that helps facilitate machine learning in Go.
      ",https://github.com/gorgonia/gorgonia,5000,5300,300,1.1
kubeflow,"
        Machine Learning Toolkit for Kubernetes
      ",https://github.com/kubeflow/kubeflow,12700,13700,1000,1.1
metarank,"
        A low code Machine Learning personalized ranking service for articles, listings, search results, recommendations that boosts user engagement. A friendly Learn-to-Rank engine
      ",https://github.com/metarank/metarank,1800,2000,200,1.1
mlfinlab,"
        MlFinLab helps portfolio managers and traders who want to leverage the power of machine learning by providing reproducible, interpretable, and easy to use tools. 
      ",https://github.com/hudson-and-thames/mlfinlab,3400,3800,400,1.1
modelfox,"
        ModelFox makes it easy to train, deploy, and monitor machine learning models.
      ",https://github.com/modelfoxdotdev/modelfox,1400,1500,100,1.1
polyaxon,"
        MLOps Tools For Managing & Orchestrating The Machine Learning LifeCycle
      ",https://github.com/polyaxon/polyaxon,3300,3500,200,1.1
pyprobml,"
        Python code for ""Probabilistic Machine learning"" book by Kevin Murphy
      ",https://github.com/probml/pyprobml,5700,6300,600,1.1
fairlearn,"
        A Python package to assess and improve fairness of machine learning models.
      ",https://github.com/fairlearn/fairlearn,1600,1800,200,1.1
