name,description,url,last_month_installs,this_month_installs,installs_m_m_growth,last_month_multiple
Proxy Server - Squid Proxy Cache Server on Ubuntu Server 20.04,Proxy Server using Squid Proxy Cache on Ubuntu Server 20.04 LTS,https://aws.amazon.com/marketplace/pp/B08ZJPL2N3?qid=1714077503438&sr=0-770&ref_=srh_res_product_title,16,0,-16,0.0
Pulse Secure Virtual Traffic Manager Community & BYOL Edition,"This Community and BYOL Edition offers all the features of the Pulse vTM and Pulse vWAF so you can use it in test, development & production environments but is limited to 10Mbps throughput & has a cluster limit of 4 instances. No support is available for the Community Edition. Resources and documentation are available via the Pulse user community. This high-performance Load Balancer & application delivery controller is designed to deliver fast, secure, reliable access to web sites & applications & offers HA via active-active deployment. To use this AMI to set up a BYOL License, please refer to the Getting Started Guide. The 18.3 version (or later) can be deployed on the nitro instance types. Older versions will also be limited to 1Mbps.",https://aws.amazon.com/marketplace/pp/B00S04V5HU?qid=1714077503438&sr=0-769&ref_=srh_res_product_title,73,1,-72,0.0
"Plesk Obsidian on Windows, WordPress & Website Hosting Environment","Plesk is the leading WebOps platform to build, secure and run websites, applications and hosting businesses. Available in more than 32 languages across 140 countries in the world, over 2500 managed service providers and over 250k Web Professionals are partnering with Plesk today.",https://aws.amazon.com/marketplace/pp/B07Z7XLVKG?qid=1714077503438&sr=0-767&ref_=srh_res_product_title,262,0,-262,0.0
Forcepoint NGFW (BYOL) - Next Generation Firewall,"Forcepoint NGFW (next generation firewall) gives you the scalability, protection, and visibility you need to more efficiently manage protect traffic into and out of your AWS network as well as among various components of your cloud environment. Forcepoint NGFW integrates application control, sophisticated evasion prevention, and the leading intrusion prevention system (IPS) into a single solution that can be managed from the same console as your data center, office and branch firewalls. Independent tests show that Forcepoint NGFW stops more Advanced Evasion Techniques (AETs) than other security devices, stops attempts to exploit vulnerabilities, and offers the industry's most effective sandboxing technology for detecting zero-day attacks and advanced malware. It even protects against exfiltration of sensitive data.",https://aws.amazon.com/marketplace/pp/B01MG1OZPX?qid=1714077525382&sr=0-880&ref_=srh_res_product_title,29,0,-29,0.0
Arista CloudEOS Router (PAYG),"The Arista CloudEOS Router delivers a feature-rich multi-cloud and multi-hypervisor virtual router service with IPsec VPN connectivity. It empowers enterprises to build consistent, highly secure, and scalable hybrid cloud networks. Leveraging 15+ years of software research and development, Arista CloudEOS Router extends the same EOS software used by all of Arista's proven physical switching and routing platforms to the hybrid cloud environment with a high-performance direct I/O data path for higher and more consistent IPsec performance with any traffic mix.",https://aws.amazon.com/marketplace/pp/B07D2DL23F?qid=1714077533637&sr=0-923&ref_=srh_res_product_title,1,0,-1,0.0
FortiAnalyzer Centralized Logging/Reporting (30 managed devices),"Fortinet FortiAnalyzer securely aggregates log data from Fortinet devices and other syslog-compatible devices. Using a comprehensive suite of easily-customized reports, users can filter and review records, including traffic, event, virus, attack, Web content, and email data, mining the data to determine your security stance and assure regulatory compliance.",https://aws.amazon.com/marketplace/pp/B07QRFP1T7?qid=1714077542952&sr=0-970&ref_=srh_res_product_title,13,0,-13,0.0
Reveal(x) 1100v (BYOL),"ExtraHop for AWS provides the first complete Enterprise Cyber Security solution in AWS and offers unified security analytics in the cloud. By combining automated discovery and asset classification with full payload analysis and machine learning for high-fidelity threat detection, ExtraHop for AWS gives cloud-focused SecOps teams the power to proactively monitor and respond to threats.",https://aws.amazon.com/marketplace/pp/B07RL11FCZ?qid=1714077564386&sr=0-1060&ref_=srh_res_product_title,61,0,-61,0.0
Arista CloudEOS Router (BYOL),"The Arista CloudEOS Router delivers a feature-rich multi-cloud and multi-hypervisor virtual router service with IPsec VPN connectivity. It empowers enterprises to build consistent, highly secure, and scalable hybrid cloud networks. Leveraging 15+ years of software research and development, Arista CloudEOS Router extends the same EOS software used by all of Arista's proven physical switching and routing platforms to the hybrid cloud environment with a high-performance direct I/O data path for higher and more consistent IPsec performance with any traffic mix.",https://aws.amazon.com/marketplace/pp/B088RK9D2T?qid=1714077615914&sr=0-1221&ref_=srh_res_product_title,1,0,-1,0.0
Black Duck,"Black Duck by Synopsys gives you visibility into and control over open source risks within your applications and containers. Black Duck allows you to scan applications and container images, identify all open source components, and detect any open source security vulnerabilities, compliance issues, or code-quality risks. By deploying Black Duck on AWS and integrating it with the development tools you use in AWS, you can scan your cloud applications and images in your container registry, automate build scans in your CI pipeline, and stay notified on any security vulnerabilities or policy violations found in your open source code.",https://aws.amazon.com/marketplace/pp/B07PXMMYS4?qid=1714077627461&sr=0-1289&ref_=srh_res_product_title,24,0,-24,0.0
Symantec Protection Engine for Cloud Services on Windows,This product includes both of the software packages described below:,https://aws.amazon.com/marketplace/pp/B01B5CQ72Q?qid=1714077629585&sr=0-1297&ref_=srh_res_product_title,490,12,-478,0.0
VMware Tanzu Greenplum  (BYOL),"VMware Tanzu Greenplum is a commercial fully featured Massively Parallel Processing(MPP) Data Warehouse platform powered by the open source Greenplum Database. It provides powerful and rapid analytics on petabyte scale data volumes. Uniquely geared toward big data analytics, Greenplum has the world's most advanced cost-based query optimizer delivering high analytical query performance on large data volumes. Key product features enable petabyte-scale loading, advanced machine learning support, Natural Language Processing with GPText and External tables on AWS S3.",https://aws.amazon.com/marketplace/pp/B06XKQ8Z3H?qid=1714077629585&sr=0-1292&ref_=srh_res_product_title,58,0,-58,0.0
Solace PubSub+ Software Event Broker Standard Edition,"Solace PubSub+ Event Broker: Software efficiently streams events and information across cloud, on-premises and IoT environments. The + means it supports a wide range of message exchange patterns including publish/subscribe, request/reply, queueing and streaming, with qualities of service like best effort and guaranteed delivery. It can be managed and monitored with a single administration interface.",https://aws.amazon.com/marketplace/pp/B09CCX5FPZ?qid=1714077641090&sr=0-1337&ref_=srh_res_product_title,1,0,-1,0.0
