name,description,url,last_month_installs,this_month_installs,installs_m_m_growth,last_month_multiple
"Social Drive, Comment and Reply for any file","This app allows you to comment, manage comments (list, reply, edit, delete..) on Google Drive's file. Share it with your friends.",https://workspace.google.com/marketplace/app/social_drive_comment_and_reply_for_any_f/619726404418,27,264,237,9.8
Org Chart - Best Chart Builder,Organizational chart builder with instant Google Workspace sync.  You can create multiple org charts and the org chart core.,https://workspace.google.com/marketplace/app/org_chart_best_chart_builder/219218309058,10,97,87,9.7
Zoho CRM,"Zoho CRM is a flexible cloud-based CRM for your business that helps you attract, retain and delight customers.",https://workspace.google.com/marketplace/app/zoho_crm/469571659015,14,135,121,9.6
Zoho Books,"Zoho Books is your one stop shop online accounting software for managing your business. Its beautiful interface, non jargon text and features like bank feeds makes accounting an enjoyable experience.",https://workspace.google.com/marketplace/app/zoho_books/932402265855,7,67,60,9.6
Mail Merge with Attachments,"Send personalized emails with Gmail™ Mail Merge. Include different file attachments, schedule emails for sending later, CC and BCC recipients, create drafts, track email opens, clicks, and bounces.",https://workspace.google.com/marketplace/app/mail_merge_with_attachments/223404411203,321,3038,2717,9.5
Zoho Creator,Create custom apps for all your business needs with very little code. Build once on web and use them across mobile platforms with targeted functionality.,https://workspace.google.com/marketplace/app/zoho_creator/77578066546,11,100,89,9.1
Zoho Creator,Create custom apps for all your business needs with very little code. Build once on web and use them across mobile platforms with targeted functionality.,https://workspace.google.com/marketplace/app/zoho_creator/77578066546,11,100,89,9.1
Zoho Creator,Create custom apps for all your business needs with very little code. Build once on web and use them across mobile platforms with targeted functionality.,https://workspace.google.com/marketplace/app/zoho_creator/77578066546,11,100,89,9.1
Zoho CRM,"Zoho CRM is a flexible cloud-based CRM for your business that helps you attract, retain and delight customers.",https://workspace.google.com/marketplace/app/zoho_crm/469571659015,15,135,120,9.0
Zoho CRM for Gmail,"Zoho CRM is a flexible cloud-based CRM for your business that helps you attract, retain and delight customers.",https://workspace.google.com/marketplace/app/zoho_crm_for_gmail/490347649391,11,99,88,9.0
Zoho CRM for Gmail,"Zoho CRM is a flexible cloud-based CRM for your business that helps you attract, retain and delight customers.",https://workspace.google.com/marketplace/app/zoho_crm_for_gmail/490347649391,11,99,88,9.0
